Brand
Fire TV (Gen 3) - AFTN
Fire TV 4-Series - AFTTI
Fire TV Cube - AFTA
Fire TV Cube (2nd Gen) - AFTR
Fire TV Edition - Grundig OLED (2019) - AFTEUFF014
Fire TV Edition - Grundig Vision 6 (2019) - AFTEU011
Fire TV Edition - Grundig Vision 7 (2019) - AFTEU014
Fire TV Edition - Insignia 4K (2018) - AFTJMST12
Fire TV Edition - Insignia HD (2018) - AFTEAMR311
Fire TV Edition - JVC 4K UHD Smart (2019) - AFTSO001
Fire TV Edition - Nebula D3000 Soundbar (2019) - AFTMM
Fire TV Edition - Onida HD/FHD (2019) - AFTLE
Fire TV Edition - Onida/AKAI HD/FHD (2020) - AFTTIFF55
Fire TV Edition - Toshiba 4K (2018) - AFTKMST12
Fire TV Edition - Toshiba HD (2018) - AFTBAMR311
Fire TV Omni Series - AFTTIFF
Fire TV Stick 4K - AFTMM
OK UHD - Fire TV Smart TV (2020) - AFTWI001
Toshiba 4K UHD Smart TV – Fire TV Edition - AFTDCT31
Fire TV Edition - AB/Croma HD/FHD (2020) - AFTBU001
Fire TV Edition - AB/AKAI/Croma UHD (2020) - AFTPR001
Fire TV Stick Lite - AFTSS
Fire TV Stick (3rd Gen) - AFTSSS
Fire TV Edition - JVC Smart HD/FHD (2020) - AFTWMST22
ONIDA 4K - Fire TV Smart TV (2022) - AFTGRO001
Toshiba 4K UHD Smart TV - Fire TV Edition (2021) - AFTHA001
Toshiba M550 Smart Fire TV - AFTHA003
Toshiba V35 Fire TV - AFTHA002
OK UHD Fire TV Smart TV(2021) / Xiaomi F2 4K - Fire TV Smart TV (2022) - AFTANNA0
Fire TV Edition - Vestel T31 - 4K UHD FVP (2021/2022) - AFTJULI1
Fire TV Stick 4K Max - AFTKA
Fire TV 2-Series - AFTKA002
Fire TV 4-Series - AFTKAUK001
Fire TV 2-Series - AFTKAUK002
Fire TV Omni QLED Series - AFTKADE001
Funai 4K - Fire TV Edition (2022) - AFTMON001
Funai HD - Fire TV Edition (2022) - AFTMON002
Echo Show 15 with Fire TV built in - AEOHY
Fire TV Edition – Insignia and Pioneer 2K (2022) - AFTALMO
ONIDA 2K - Fire TV Smart TV (2022) - AFTMAN001
Fire TV Cube (3rd Gen) - AFTGAZL
Toshiba Class C350LU Series LED 4K UHD Smart Fire TV - AFTHA004
Redmi HD Ready Smart LED Fire TV (2023) - AFTMV00
Xiaomi TV F2 HD (2023) - AFTSHN01
TCL Class Q Series 4K QLED HDR Smart TV with Fire TV/TCL Class S4 4K LED Smart TV with Fire TV - AFTMD001
