Current Roku models,,,,,,,,,
Device Name,Code Name,roDeviceInfo.GetModel(),CPU,Accelerated Graphics API,RAM,Max UI Resolution,Max Playback Resolution,HDR Support,Year Released
Roku Premiere+,Gilbert 4K,3921X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K UHD, 60fps",HDR10,2019
Roku Ultra,Cooper,4640X,ARM Cortex A53 quad core 1.2 GHz,1 GB,OpenGL ES 2.0,1920X1080,"4K UHD, 60fps",HDR10,2016
Roku Ultra,Bryan,4660X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K UHD, 60fps",HDR10,2017
Roku Ultra LT,Bryan -W,4662X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR",HDR 10,2017
Roku Ultra,Bryan 2,4670X,ARM Cortex A53,2 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR",HDR 10,2019
Roku 3,Austin,4200X,ARM Cortex A9 dual core 1 GHz,512 MB,OpenGL ES 2.0,1280X720,"1920x1080, 60fps***",n/a,2014
Roku 2,Mustang,4210X,ARM Cortex A9 dual core 1 GHz,512 MB,OpenGL ES 2.0,1280X720,"1920x1080, 60fps3***",n/a,2013
Roku 3,Mustang,4230X,ARM Cortex A9 dual core 1 GHz,512 MB,OpenGL ES 2.0,1280X720,"1920x1080, 60fps***",n/a,2014
Roku TV,Liberty,5000X,MIPS 1 GHz,512 MB,n/a,1280X720,"1920x1080, 60fps**",n/a,2016
4K Roku TV,Ft. Worth,6000X,ARM quad core,1.5 GB,OpenGL ES 2.0,1920X1080,3840X2160,N/a,2016
Roku TV,Roma,D000X,ARM Cortex A55,512 MB,OpenGL ES 2.0,720p,1080p,No,2020
